name x y flux1 flux2 flux3 par rv
P01053  16.576  -9.764 5.81e-16 3.97e-16 2.02e-16   0.001    0.47
P02538  16.698 -10.083 1.03e-14 5.76e-15 2.21e-15  -0.001    0.51
P04984  16.766  -9.691 6.63e-16 3.88e-16 1.84e-16   0.002    0.48
P03530  16.887  -9.714 2.74e-16 1.79e-16 1.11e-16   0.000    0.40
P02812  16.877  -9.744 4.57e-17 3.77e-17 2.18e-17   0.001    0.44
P00733  16.894  -9.716 1.34e-17 1.34e-17 9.29e-18  -0.001    0.28
P00455  16.708  -9.663 8.36e-17 5.77e-17 3.72e-17  -0.000    0.23
P04461  16.826  -9.596 1.68e-15 7.97e-16 4.28e-16   0.002    0.18
P00821  16.904  -9.805 7.59e-15 3.29e-15 1.59e-15   0.002    0.25
P03895  16.905  -9.494 9.46e-14 6.19e-14 2.49e-14   0.001    0.25
P04896  16.929  -9.683 6.58e-16 4.20e-16 1.98e-16   0.002    0.16
P04624  16.995  -9.483 4.40e-15 2.37e-15 1.02e-15   0.001    0.25
P01198  16.938 -10.461 2.29e-17 1.60e-17 1.25e-17   0.002    0.27
P01410  16.926  -9.526 1.87e-13 1.33e-13 8.01e-14   0.001    0.09
P03846  17.047  -9.590 2.24e-17 1.93e-17 1.45e-17   0.002    0.07
P02515  17.174  -9.488 1.17e-13 6.95e-14 3.34e-14   0.002    0.19
P01244  17.003 -10.121 3.82e-16 2.42e-16 1.29e-16   0.002    0.32
P02592  17.056  -9.669 1.79e-13 1.10e-13 4.89e-14   0.000    0.08
P00059  16.966  -9.518 9.24e-16 5.66e-16 2.60e-16  -0.001    0.07
P00990  17.033  -9.870 6.26e-15 3.92e-15 1.52e-15  -0.000    0.21
P03556  16.919  -9.493 9.22e-17 6.43e-17 3.86e-17  -0.001    0.22
P00285  17.029  -9.567 2.37e-17 2.00e-17 1.32e-17   0.000    0.06
P00452  17.037  -9.224 4.72e-17 4.48e-17 2.66e-17   0.001    0.11
P04320  17.141  -9.420 1.68e-17 1.70e-17 1.09e-17  -0.000    0.17
P04370  17.149  -9.582 9.44e-16 4.85e-16 3.41e-16  -0.002    0.06
P02696  17.274  -9.511 1.03e-14 5.00e-15 1.79e-15   0.000    0.02
P01311  17.254  -9.878 5.65e-17 3.24e-17 2.38e-17  -0.000    0.13
P00128  17.225  -9.768 4.89e-16 3.28e-16 1.57e-16  -0.000    0.02
P01798  17.327  -9.681 8.62e-16 3.89e-16 1.93e-16   0.002   -0.13
P03177  17.254  -9.237 2.25e-16 1.32e-16 7.53e-17   0.003    0.00
P00675  17.360  -9.206 1.03e-16 7.56e-17 4.38e-17   0.000    0.05
P00851  17.385  -9.644 3.53e-17 3.55e-17 1.97e-17  -0.000   -0.14
P03517  17.387  -9.779 3.29e-17 2.61e-17 1.49e-17  -0.001   -0.15
P02115  17.576  -9.188 3.70e-15 1.95e-15 9.15e-16   0.001   -0.01
P01706  17.562  -9.459 1.13e-17 9.43e-18 8.11e-18   0.002   -0.16
P05025  17.404  -9.616 1.74e-15 9.71e-16 4.41e-16  -0.000   -0.13
P02878  17.580  -9.757 3.87e-17 3.16e-17 2.02e-17   0.000    0.11
P04306  17.673  -9.343 6.09e-15 2.66e-15 1.15e-15   0.001   -0.14
P01115  17.661  -9.582 3.31e-17 2.43e-17 1.76e-17   0.001   -0.11
P01640  17.739  -9.321 6.09e-16 3.85e-16 1.90e-16   0.001   -0.04
P03911  17.877  -9.292 7.55e-17 5.69e-17 3.31e-17   0.001   -0.08
P02486  17.814  -9.071 3.42e-16 2.16e-16 1.14e-16  -0.001    0.10
P03710  18.219  -9.624 4.84e-17 3.69e-17 2.34e-17   0.002   -0.15
P02085  18.560  -8.958 1.61e-13 1.09e-13 6.85e-14   0.001    0.10
P02347  18.692  -9.697 1.60e-15 8.70e-16 4.77e-16  -0.001   -0.24
P01205  19.076  -9.043 3.13e-16 2.26e-16 1.12e-16   0.000   -0.40
P04180  19.035  -9.606 1.66e-13 8.87e-14 4.43e-14   0.001   -0.33
P04728  19.349  -9.180 1.61e-13 1.25e-13 7.24e-14   0.002   -0.15
P01920  19.685  -8.939 1.10e-15 5.44e-16 2.53e-16   0.001   -0.19
P01593  19.748  -9.245 1.69e-16 1.09e-16 6.07e-17   0.001   -0.53
