name x y flux1 flux2 flux3 par rv
P00791  -3.836  -9.279 5.13e-16 2.48e-16 1.24e-16  -0.000    0.15
P00800  -3.736  -8.279 5.52e-17 3.26e-17 1.89e-17   0.001   -0.17
P03924  -3.857  -9.287 7.02e-17 4.29e-17 2.24e-17   0.001    0.02
P02024  -3.846  -9.986 7.50e-17 4.45e-17 2.44e-17   0.001    0.32
P02933  -3.836  -9.533 1.58e-14 8.07e-15 4.03e-15  -0.001    0.16
P01839  -3.788  -9.340 1.40e-14 7.44e-15 3.54e-15   0.001    0.16
P04011  -3.737  -8.962 2.96e-16 1.61e-16 8.40e-17   0.001   -0.05
P04156  -3.640  -9.041 5.21e-16 3.27e-16 1.51e-16   0.000    0.00
P02950  -3.713  -7.353 1.45e-14 8.05e-15 3.22e-15   0.001   -0.24
P02218  -3.621  -8.438 1.44e-17 9.88e-18 6.50e-18  -0.000   -0.17
P03507  -3.634  -8.712 5.71e-16 2.83e-16 1.37e-16  -0.001   -0.09
P03315  -3.619  -8.811 1.29e-17 8.52e-18 4.84e-18   0.000   -0.08
P03891  -3.549  -8.376 7.11e-17 4.44e-17 1.93e-17  -0.001   -0.08
P01533  -3.500  -8.906 1.70e-16 8.63e-17 5.21e-17   0.001    0.01
P04236  -3.408  -9.173 2.21e-16 1.19e-16 6.60e-17  -0.002    0.07
P00030  -3.419  -8.380 4.61e-17 3.09e-17 1.57e-17   0.002   -0.14
P00937  -3.496  -9.149 8.66e-17 5.30e-17 2.36e-17  -0.000    0.07
P04313  -3.208 -10.349 1.59e-17 1.02e-17 6.87e-18   0.001    0.25
P04538  -3.102  -9.707 7.99e-16 3.80e-16 1.80e-16   0.001    0.19
P03577  -3.003  -8.193 6.20e-17 5.31e-17 2.45e-17  -0.001   -0.12
P03858  -2.708  -8.532 3.20e-17 2.18e-17 1.06e-17   0.002   -0.11
P00249  -2.526  -7.819 1.07e-15 5.42e-16 2.67e-16   0.000   -0.20
P04325  -1.496  -5.880 9.81e-15 5.40e-15 2.49e-15   0.000   -0.19
